Stock,Name,Sector,Cap,Pattern,TF,Date,Status,Breakout_Zone,CMP,Upside_%,Quality,Vol_Surge,CANSLIM,Reco,Window
DABUR,Dabur India Limited,Consumer Defensive,Large,InverseHS,Weekly,2026-04-23,Pattern Formed,118.96,128.3,-7.28,-0.051,0.2,4,WATCH — mixed,80
CYIENTDLM,Cyient DLM Limited,Technology,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,118.96,128.3,-7.28,-0.051,0.2,4,WATCH — mixed,80
ORIENTCER,Orient Ceratech Limited,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,40.58,42.81,-5.21,-0.052,0.21,4,WATCH — mixed,80
ORIENTCEM,Orient Cement Limited,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,40.58,42.81,-5.21,-0.052,0.21,4,WATCH — mixed,80
DEVIT,Dev Information Technology Limited,Technology,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
DEVYANI,Devyani International Limited,Consumer Cyclical,Mid,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
DHARMAJ,Dharmaj Crop Guard Limited,Basic Materials,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
DGCONTENT,Digicontent Limited,Communication Services,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
DHANUKA,Dhanuka Agritech Limited,Basic Materials,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
DENTA,DENTA WATER N INFRA SOL L,Industrials,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,276.31,269.1,2.68,-0.055,0.48,4,WATCH — mixed,60
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Mid,BullFlag,Daily,2026-04-23,Pattern Formed,248.64,241.01,3.17,-0.055,0.62,4,WATCH — mixed,15
VCL,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,771.0,737.25,4.58,-0.055,0.79,4,WATCH — mixed,15
VARROC,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,771.0,737.25,4.58,-0.055,0.79,4,WATCH — mixed,15
VARDHACRLC,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,771.0,737.25,4.58,-0.055,0.79,4,WATCH — mixed,15
VASCONEQ,,,Unknown,BullFlag,Weekly,2026-04-23,Pattern Formed,771.0,737.25,4.58,-0.055,0.79,4,WATCH — mixed,15
TEXMOPIPES,Texmo Pipes and Products Limited,Industrials,Micro,InverseHS,Weekly,2026-04-23,Pattern Formed,72.35,74.03,-2.27,-0.056,0.73,4,WATCH — mixed,60
TGBHOTELS,TGB Banquets and Hotels Limited,Consumer Cyclical,Micro,InverseHS,Weekly,2026-04-23,Pattern Formed,72.35,74.03,-2.27,-0.056,0.73,4,WATCH — mixed,60
TEMBO,Tembo Global Industries Limited,,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,72.35,74.03,-2.27,-0.056,0.73,4,WATCH — mixed,60
TIMEX,Timex Group India Limited,Consumer Cyclical,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,424.55,395.15,7.44,-0.058,0.29,4,WATCH — mixed,120
TATVA,Tatva Chintan Pharma Chem Limited,Basic Materials,Small,FlatBase,Daily,2026-04-23,Pattern Formed,436.05,428.8,1.69,-0.059,0.69,4,WATCH — mixed,60
TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,Small,FlatBase,Daily,2026-04-23,Pattern Formed,436.05,428.8,1.69,-0.059,0.69,4,WATCH — mixed,60
THAKDEV,Thakkers Developers Limited,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,4278.4,3790.0,12.89,-0.06,1.19,4,WATCH — mixed,40
THOMASCOOK,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,4278.4,3790.0,12.89,-0.06,1.19,4,WATCH — mixed,40
THANGAMAYL,Thangamayil Jewellery Limited,Consumer Cyclical,Mid,FlatBase,Daily,2026-04-23,Pattern Formed,4278.4,3790.0,12.89,-0.06,1.19,4,WATCH — mixed,40
SCILAL,Shipping Corporation of India Land and Assets Limited,,Small,InverseHS,Weekly,2026-04-23,Pattern Formed,135.9,149.37,-9.02,-0.062,0.54,4,WATCH — mixed,60
SONAMLTD,Sonam Limited,Consumer Cyclical,Micro,BullFlag,Weekly,2026-04-23,Pattern Formed,241.63,238.63,1.26,-0.064,0.46,4,WATCH — mixed,15
SOMATEX,Soma Textiles & Industries Limited,,Micro,BullFlag,Weekly,2026-04-23,Pattern Formed,241.63,238.63,1.26,-0.064,0.46,4,WATCH — mixed,15
TFCILTD,Tourism Finance Corporation of India Limited,Financial Services,Small,BullFlag,Daily,2026-04-23,Pattern Formed,98.97,97.0,2.03,-0.064,4.35,4,WATCH — mixed,20
TERASOFT,Tera Software Limited,Technology,Micro,BullFlag,Daily,2026-04-23,Pattern Formed,98.97,97.0,2.03,-0.064,4.35,4,WATCH — mixed,20
VSTTILLERS,,,Unknown,FlatBase,Weekly,2026-04-23,Pattern Formed,1488.4,1460.9,1.88,-0.066,0.42,4,WATCH — mixed,60
WALCHANNAG,Walchandnagar Industries Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,1488.4,1460.9,1.88,-0.066,0.42,4,WATCH — mixed,60
VSTIND,VST Industries Limited,,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,1488.4,1460.9,1.88,-0.066,0.42,4,WATCH — mixed,60
VSTL,Vibhor Steel Tubes Limited,,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,1488.4,1460.9,1.88,-0.066,0.42,4,WATCH — mixed,60
ESSARSHPNG,Essar Shipping Limited,,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,2717.9,2679.8,1.42,-0.067,1.39,4,WATCH — mixed,40
ESSENTIA,Integra Essentia Limited,,Micro,FlatBase,Weekly,2026-04-23,Pattern Formed,2717.9,2679.8,1.42,-0.067,1.39,4,WATCH — mixed,40
ESAFSFB,ESAF Small Finance Bank,,Small,FlatBase,Weekly,2026-04-23,Pattern Formed,2717.9,2679.8,1.42,-0.067,1.39,4,WATCH — mixed,40
ESABINDIA,ESAB India Limited,,Mid,FlatBase,Weekly,2026-04-23,Pattern Formed,2717.9,2679.8,1.42,-0.067,1.39,4,WATCH — mixed,40
